大李水餃,106台北市大安區和平東路二段118巷54弄35號
Mall Taman Anggrek,Letjen S. Parman Street No.28, RT.9/RW.1, Tomang, Grogol petamburan, West Jakarta City, Jakarta 11440印尼
渝香園,806高雄市前鎮區一心一路11號
Pizza Hut,Ruko ITC Permata Hijau, Jl. Arteri Permata Hijau No.6-7, RT.11/RW.10, North Grogol, Kebayoran Lama, South Jakarta City, Jakarta 12210印尼
Spice Kit,340 California Ave, Palo Alto, CA 94306美國
Apple Palo Alto,340 University Ave, Palo Alto, CA 94301美國
百年傳奇,970花蓮縣花蓮市中華路95號
時光旅人 早餐店,970花蓮縣花蓮市公園路33號
食七街碳烤,970花蓮縣花蓮市中山路110號
TST麵包坊,802高雄市苓雅區廣東一街115號
Central Park,Letjen S. Parman Street No.28, RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470印尼
Grand Indonesia,Jl. M.H. Thamrin No.1, RT.1/RW.5, Kebon Melati, Menteng, Central Jakarta City, Jakarta 10310印尼
Somerset Berlian Jakarta,Jl. Permata Berlian No.V, RT.14/RW.2, Permata Hijau, Kebayoran Lama, South Jakarta City, Jakarta 12210印尼
高雄麗尊酒店 艾可柏菲自助料理 CERCLE BUFFET,802高雄市苓雅區五福一路105號
玉山登山口,556南投縣信義鄉
灣區大商場,美國 California, Milpitas, Great Mall Dr, 邮政编码: 95035
McDonald's,1060 Rengstorff Ave, Mountain View, CA 94043美國
大美洲主題公園,美國 California, Santa Clara, Great America Pkwy, 邮政编码: 95054
Teaspoon,236 Castro St, Mountain View, CA 94041美國
Izzo Restaurant,1701 Lundy Ave #100, San Jose, CA 95131美國
小肥羊火鍋店,美國 California, Cupertino, Stevens Creek Blvd, 邮政编码: 95014
火山口湖國家公園,美國 Oregon
巫毒甜甜圈,美國 Oregon, Portland, SW 3rd Ave, 邮政编码: 97204
Bon Mi,153 E Broadway, Eugene, OR 97401美國
Denny's,542 E Cypress Ave, Redding, CA 96002美國
Elegance Spa - Milpitas,22 S Hillview Dr, Milpitas, CA 95035美國
TownePlace Suites by Marriott Milpitas Silicon Valley,1428 Falcon Dr, Milpitas, CA 95035美國
b8ta Palo Alto,516 Bryant St, Palo Alto, CA 94301美國
Mustafa's Gemüse Kebap,Mehringdamm 32, 10961 Berlin, 德國
Regalia Nha Trang Hotel,KH, 98B Trần Phú, Lộc Thọ, Thành phố Nha Trang, Khánh Hòa 650000越南
溫哥華蒸汽鐘,加拿大 British Columbia, Vancouver, Water St, 邮政编码: V6B 1B9
FairPrice Lengkok Bahru,20 Lengkok Bahru, #01-13新加坡 159053
Thai Cook 泰酷．泰式料理．台北東區,106台北市大安區復興南路一段107巷13號
Kushinarun Image,Nyaung-U, 緬甸
S Hotel,105台北市松山區敦化北路150號
Petals By SF,#02-21 Hillion Mall, 17 Petir Rd, Singapore 678278
Petals by SF,1 Harbourfront Walk, #02-155, VivoCity, Singapore 098585
Petals by SF,1 Vista Exchange Green, #02-27a, The Star Vista, 新加坡 138617
Petals By SF,2 Jurong East Street 21, #01-01, IMM, 新加坡 609601
Xiao Ban Soya Singapore,#03-89G, 1 Jurong West Central 2, Singapore 648886
The Projector,6001 Beach Road, #05-00, Golden Mile Tower, 新加坡 199589
Huang Tu Di XI’AN Delights,3151 Commonwealth Ave W, #01-13/14新加坡 129581
CUBE - Boutique Capsule Hotel @ Chinatown,76, 78 Smith Street, 2nd & 3rd Level, 新加坡 058971
Food Pavilion,443 Clementi Ave 3, 新加坡 120443
Crave,3155 Commonwealth Ave W, B1-K4/K5, Singapore 129588
Ayer Rajah Food Centre,W Coast Dr, Blk 503, 新加坡 120503
宜梧1,653雲林縣口湖鄉
文光國小,653雲林縣口湖鄉
公魚池,653雲林縣口湖鄉
口湖鄉成龍納骨堂,653雲林縣口湖鄉成龍村成龍303號
金湖福德廟,653雲林縣口湖鄉口湖鄉、653
金湖海口金樂園,No. 72, 中正路口湖鄉雲林縣653
金車文藝中心承德館,103台北市大同區承德路三段131號
金春發牛肉店,103台北市大同區承德路三段173號
六六六涮涮鍋,231新北市新店區中央路89號
The Quadrant At Cecil,19 Cecil St, Singapore 049704 Cecil St, Singapore 049704
Little India,#02, 48 Serangoon Rd, 16, Little India Arcade, 新加坡 217959
松發,新加坡 New Bridge Rd, 11号 邮政编码: 059383
Supertree Grove,18 Marina Gardens Dr, 新加坡 018953
Bandstand,新加坡 Cluny Rd, 6号 邮政编码: 259573
SMU,新加坡
濱海灣花園,新加坡 Marina Gardens Dr, 18号 邮政编码: 018953
JUMBO Seafood (The Riverwalk),20 Upper Circular Rd, #B1-48, The Riverwalk, 新加坡 058416
Royal Plaza On Scotts,新加坡
新加坡佛牙寺龍華院,新加坡 South Bridge Rd, 288号 邮政编码: 058840
nuTonomy Asia,3 Fusionopolis Way, #15-20, Symbiosis, 新加坡 138633
V Hotel Bencoolen,48 Bencoolen St, 新加坡 189627
The Fullerton Bay Hotel,80 Collyer Quay, 新加坡 049326
魏姐包心粉圓 礁溪店,262宜蘭縣礁溪鄉礁溪路五段35號
靜心文匯,116台北市文山区景華街198號
台子天台宮,653雲林縣口湖鄉台興路86號
台鑫水產行,653雲林縣口湖鄉口湖鄉台子村蚶仔寮142號之10
泰王泰式料理,236新北市土城區金城路三段168號
Royal Plaza on Scotts Singapore,25 Scotts Rd, 新加坡 228220
牛车水 唐人街,189 New Bridge Rd Singapore 059422 New Bridge Rd, Singapore 059422
甄美行 資生堂碧麗妃特約店,235新北市中和區員山路107號
台子港安檢所,653雲林縣口湖鄉Unnamed Rd,
成龍溼地,653雲林縣口湖鄉
世昌平價中心,653雲林縣口湖鄉台興路8號
峨眉號捐血車,330台北市萬華區峨嵋街
莊敬駕訓班,231新北市新店區民生路14號
尚介好雞排店,653雲林縣口湖鄉台興路15號
台興福德祠,號, No. 125-130台興路口湖鄉雲林縣653
台子村地藏庵,653雲林縣口湖鄉台興路55號
稻民宿,269宜蘭縣冬山鄉武淵一路56號
STARBUCKS 星巴克 (南港三重門市),115台北市南港區南港路一段114號
伯朗咖啡館 員山酒堡咖啡館,264宜蘭縣員山鄉員山路二段326號
幸福YES宜蘭羅東夜市民宿(電梯獨棟),265宜蘭縣羅東鎮中山路三段62號
麥當勞-土城金城店,236新北市土城區金城路三段54號
雲林溪美食廣場,640雲林縣斗六市九如街6號
上海陕西商会,中國上海市静安区延安中路658号 邮政编码: 200333
黑熊愛跳舞(MOON BEAR LOVES DANCING),106台北市大安區基隆路二段225號
蘇豪區,香港中環
名門燒臘專門店,231新北市新店區中正路146-1號
九號碼頭 太平店,411台中市太平區中興東路56號
平溪十分旅人民宿,226新北市平溪區十分街
頂好Wellcome超市-大安泰順店,106台北市大安區和平東路一段145號
川子麵線,400台中市中區中山路26號
道禾六藝文化館-台中刑務所演武場,403台中市西區林森路33號
武侍酒 日式居酒屋-南港美食/南港展覽館美食/南港必吃/南港聚餐/台北居酒屋/南港日本料理推薦,115台北市南港區南港路一段111號
麥當勞-台中中正店,400台中市中區台灣大道一段36號
宋廚菜館,110台北市信義區忠孝東路五段15巷14號
北港 憶鄉緣民宿,651雲林縣北港鎮忠誠街29號
國泰金融中心,110台北市信義區松仁路9號
Eco Tree Sheung Wan,156, 160 Des Voeux Rd W, Sai Ying Pun, 香港
新濠天地,澳門路氹連貫公路City of Dreams
極酷衝浪俱樂部,261宜蘭縣頭城鎮烏石港路93之2號
雄鎮蠻煙碑,261新北市貢寮區遠望坑段草嶺小103地號
燦坤3C-南港店,115台北市南港區南港路一段173號
【介壽堂】台北榮民總醫院,112台北市北投區石牌路二段201-176號台灣 號
臺大,106台北市大安區
萬寶華台灣分公司 ManpowerGroup Taiwan,106台北市大安區敦化南路二段105號
遠東SOGO 台北天母店,111台北市士林區中山北路六段77號
Jamie's 小酒廚,106台北市大安區市民大道四段210號
逸軒大飯店,954台東縣卑南鄉龍泉路53巷3號
利吉惡地,954台東縣卑南鄉東45鄉道954號
東岸精緻商務旅館,970花蓮縣花蓮市建國路128號
閹雞城餐廳,970花蓮縣花蓮市國聯二路70-1號
開基萬善祠,653雲林縣口湖鄉蚶仔寮126號
S-Bahn Hamburg GmbH,Hammerbrookstraße 44, 20097 Hamburg, 德國
Hamburg Bit-Bots,Haus F, Vogt-Kölln-Straße 30, 22527 Hamburg, 德國
Hostel Luneta Warszawska,Kamienna 16, 31-403 Kraków, 波蘭
H&M,Mönckebergstraße 11, 20095 Hamburg, 德國
Rindermarkthalle,Neuer Kamp 31, 20359 Hamburg, 德國
Peek & Cloppenburg,Mönckebergstraße 6, 20095 Hamburg, 德國
Rathausplatz,Rathauspl., 1010 Wien, 奧地利
Kampnagel,Jarrestraße 20, 22303 Hamburg, 德國
SATURN,Mönckebergstraße 1, 20095 Hamburg, 德國
PENNY,Steindamm 22, 20099 Hamburg, 德國
萊斯音樂廳,德國 Hamburg, Johannes-Brahms-Platz, 邮政编码: 20355
漢堡工藝美術館,德國 Hamburg, Steintorpl., 邮政编码: 20099
漢堡國立歌劇院,德國 Hamburg, Große Theaterstraße, 邮政编码: 20354
Speicherstadt Kaffeerösterei,Kehrwieder 5, 20457 Hamburg, 德國
微縮景觀世界,德國 Hamburg, Kehrwieder, 邮政编码: 20457
Netto City Filiale,Grindelhof 23, 20146 Hamburg, 德國
"Jumbo" China-Restaurant (Kantonesische Dimsum),Wandsbeker Marktstraße 157, 22041 Hamburg, 德國
MEININGER Hotel Brussel City Center,Quai du Hainaut 33, 1080 Molenbeek-Saint-Jean, 比利時
Gastama,109 Rue Saint-André, 59000 Lille, 法國
Champagne Taittinger,9 Rue Saint-Nicaise, 51100 Reims, 法國
杜樂麗花園,法國 Paris, Place de la Concorde, 邮政编码: 75001
Shujiuxiang,168 Rue Saint-Denis, 75002 Paris, 法國
Office du Tourisme et des Congrès de Paris,29 Rue de Rivoli, 75004 Paris, 法國
Enjoy Hostel,5 Rue des Plantes, 75014 Paris, 法國
大師兄銷魂麵舖-信義店(新光三越A11，B2),110台北市信義區松壽路11號
金大碗台灣牛肉麵館,10491台北市中山區長安東路二段178-5號
泰順2之1,106台北市大安區泰順街2-1號
明峰貢丸店,103台北市大同區迪化街一段314號
加福奇士蛋糕專門店,103台北市大同區延平北路二段72號
佳興粿行,103台北市大同區重慶北路三段236巷50-52號
林合發油飯店,103台北市大同區迪化街一段21號
STARBUCKS RESERVE™ 星巴克典藏咖啡 保安門市,103台北市大同區保安街11號
水戶懷石日本料理,10457台北市中山區吉林路16號
Focus Kitchen肯恩廚房,106台北市大安區信義路二段198巷6號
布卡堤BOÜCATI CAFE,325桃園市龍潭區民族路245號
老爺小花園,10491台北市中山區伊通街31號
永和豆漿大王,106台北市大安區師大路128-1號
布拉格咖啡館,106台北市大安區溫州街20號
BELLINI Pasta Pasta 新竹巨城店,300新竹市東區中央路229號
日勝客家蔬食,305新竹縣新埔鎮中正路329號
謝記珍寶食品莊,106台北市大安區復興南路二段166號
一禾堂 新光三越信義A11店,A11 B2, 新光三越信義新天地香堤大道信義區台北市110
檀島香港茶餐廳,110台北市信義區松壽路11號
原金華街老麵碳烤燒餅,100台北市中正區南海路2巷14號
樂朋小館,106台北市大安區潮州街176號
正記南京板鴨-永康街必吃人氣美食 滷味推薦 鹹水鴨 午餐推薦,100台北市中正區新生南路一段170巷4-1號
信遠齋滷味,100台北市中正區新生南路一段170巷15號
Coffee Naps 蓁澄咖啡手作坊,106台北市大安區瑞安街256巷29號
阿月子油飯，米粉湯，黑白切,106台北市大安區泰順街4號
泰街頭二店泰國船麵專賣店,106台北市大安區新生南路三段68-2號
劉媽媽飯糰,100台北市中正區杭州南路二段88號
塩パン現烤菠蘿,106台北市大安區復興南路二段201號
風尚咖啡廳,106台北市大安區台北市大安區新生南路三段30號B1(公務人員訓練中心)
谷墨商旅 師大館 GoodMore Hotel Shida,10644台北市大安區和平東路一段147號
Panos Cafe,106台北市大安區永康街13巷5號
上海醉月樓 - Shanghai Pavilion 香格里拉台北遠東國際大飯店,106台北市大安區敦化南路二段201號
欣葉台菜 信義新天地A9,110台北市信義區松壽路9號8 F
塔吉摩洛哥料理,106台北市大安區基隆路二段144巷3號
欒樹下書房/咖啡,106台北市大安區溫州街24號
老上海菜館,106台北市大安區仁愛路四段300巷9弄4號
Pillow caf'e,106台北市大安區瑞安街133號
日海海鮮店,106台北市大安區復興南路二段151巷6號
阿田麵,103台北市大同區赤峰街44巷20號
永樂米苔目,103台北市大同區民樂街111號
王記豆腐捲,106台北市大安區通化街38巷15號
翠滿園,106台北市大安區延吉街272號
賈家道口燒雞,106台北市大安區延吉街242之3號
陳記外省麵,106台北市大安區延吉街138巷1號1 樓
上海極品軒餐廳(煉珍堂),100台北市中正區衡陽路18號
海鮮粥.麵,106台北市大安區泰順街22號
烘焙者咖啡,106台北市大安區金華街243巷7號
小森食光,106台北市大安區和平東路一段199巷4號
上上咖啡 ShangShang Coffee,100台北市中正區延平南路95號
中原福州乾麵,100台北市中正區延平南路164號
屏東任家涼麵,105台北市松山區富錦街535號
北投魷魚,106台北市大安區光復南路290巷3號
穗科手打烏龍麵,106台北市大安區忠孝東路四段216巷27弄3號
FIFI茶酒沙龍(常玉廳),106台北市大安區仁愛路四段15號
FiFi茶酒沙龍W Bar,106台北市大安區仁愛路四段15號
陸光小吃館,106台北市大安區東豐街63號
LUCKY RIBS,106台北市大安區復興南路一段340巷26號
饕爺燒臘,300新竹市東區大學路1001號
寒軒國際大飯店,802高雄市苓雅區四維三路33號
美國Dexter 采采自助洗衣坊 - 投幣式24hr.(coin laundry),800高雄市新興區復興二路203號
姚家蘭州拉麵,800高雄市新興區青年一路176巷12號
清華大學水木男仕理髮部,300新竹市東區
台灣古早味阿東窯烤雞,307新竹縣芎林鄉富林路二段556-1號
詹媽媽湯圓,310新竹縣竹東鎮仁愛市場
丸龜製麵,320桃園市中壢區中華路一段450號
迪卡儂桃園中壢店,320桃園市中壢區中華路一段450號
彭記粄條,310新竹縣竹東鎮仁愛路369號
漢堡人速食餐飲,300新竹市東區光復路二段101號
財團法人中華經濟研究院,10672台北市大安區長興街75號
沁園春飲食店,300新竹市東區光復路一段351號
貝恩義大利料理,300新竹市東區建新路92號
台東原生應用植物園,954台東縣卑南鄉試驗場8號
老爺大酒店明宮粵菜廳,300新竹市東區光復路一段227號
泰風味小吃店,100台北市中正區羅斯福路四段108巷2號
Eleven Beer House,106台北市大安區羅斯福路三段283巷36號
公家酒吧,106台北市大安區復興南路二段349號
海賊串燒,106台北市大安區忠孝東路四段223巷26號
米澤製麵(台北古亭店)-讚岐烏龍麵,100台北市中正區羅斯福路三段18號
屯京拉麵 忠孝西路店,100台北市中正區忠孝西路一段38號
米糕城,803高雄市鹽埕區大仁路107號
阿囉哈滷味,803高雄市鹽埕區大仁路156巷3號
秀巒野溪溫泉,313新竹縣尖石鄉
資源莊,310新竹縣竹東鎮東峰路219號
STONE Bouldering Gym攀岩抱石場,No. 58-12三和路新莊區新北市242
淘客美式漢堡 三重店,241新北市三重區光復路一段80號
RedRock 紅石攀岩,111台北市士林區承德路四段261號
公館水岸抱石場,116台北市文山區水源快速道路
一番館日式拉麵,300新竹市北區國華街66巷16號
甕中傳奇,112台北市北投區石牌路二段75巷6號
阿二麻辣食堂 石牌店,112台北市北投區石牌路二段59號
洋庭坊義大利麵,100台北市中正區南陽街15-2號
悅湘蛋包飯,100台北市中正區信陽街26之11號
松鶴日本料理,300新竹市東區錦華街14號
松竹梅壽司,300新竹市北區世界街120號
EBISU KITCHEN,100台北市中正區寧波西街77號
瓦薩比薩 北市中山店 Vasa pizzeria,10450台北市中山區中山北路二段27巷2號
沛林豆花冰店(鹽水店),737台南市鹽水區中正路39號
新光國小,313新竹縣尖石鄉秀巒村8鄰17號
救國團觀雲山莊,972花蓮縣秀林鄉22號
太魯閣天祥青年活動中心,972花蓮縣秀林鄉豐村路30號
好朋友民宿,978花蓮縣瑞穗鄉中山路二段161巷5號
台東常安養生民宿,954台東縣卑南鄉梅園路8號
壽卡鐵馬驛站,943屏東縣獅子鄉草埔村壽卡1號
牡丹社事件紀念公園,945屏東縣牡丹鄉
北港朝天宮厚生大樓,651雲林縣北港鎮
天后宮,965台東縣大武鄉政通五街30號
朝日溫泉,951台東縣綠島鄉溫泉路167號
慈湖蔣公銅像公園,335桃園市大溪區復興路一段1097號
勝昌製藥廠股份有限公司,320桃園市中壢區民族路六段436號
易水寒,106台北市大安區長興街60號號
嘉明湖,957台東縣海端鄉國家森林遊樂區
嘉明湖,957台東縣海端鄉
合興火車站,312新竹縣橫山鄉中山街一段17號
復興小吃,310新竹縣竹東鎮北興路一段429號
魏記水餃,106台北市大安區通化街39巷50弄33號
垃圾(喇舌)麵,100台北市中正區八德路一段82巷9弄
田埔教會,313新竹縣尖石鄉
三十路 乾燒本部,100台北市中正區汀州路三段174-1號
中鋼集團會館,806高雄市前鎮區忠勤路23號
土城海產店,709台南市安南區安中路六段517號
永福公園,100台北市中正區福和橋
親水教育區,310新竹縣竹東鎮竹東大橋
玉峰國小,31344新竹縣尖石鄉5鄰59號
岩漿火鍋-復興店,302新竹縣竹北市復興一街236號
高鐵苗栗站,356苗栗縣後龍鎮高鐵三路268號
臺灣大學新生教學館,號, No. 170辛亥路二段大安區台北市106
新月沙灣,302新竹縣竹北市鳳岡路五段155巷68號
老先覺麻辣窯燒鍋 新竹建中店,300新竹市東區建中路33號
蔬菜大蛋餅,100台北市中正區羅斯福路四段90巷6號
悠境咖啡,972花蓮縣秀林鄉Unnamed Road
愛心聯盟生鮮超市 大鄉店,310新竹縣竹東鎮中豐路二段439號
黑輪壽司,310新竹縣竹東鎮東林路31號
班多尼翁咖啡館,300新竹市東區忠孝路279之3號
三廠姜店,300新竹市北區經國路二段547號
俞家清魚湯,203基隆市中山區仁安街131號
斑鳩的窩,300新竹市東區公道五路二段469號
潛園五行湯麵,310新竹縣竹東鎮文林路143號
大世紀餐館,310新竹縣竹東鎮北興路一段589號
找道茶 I 脆皮泡芙&茶飲專門店,106台北市大安區師大路103號
滬申泰生魚片蓋飯,106台北市大安區仁愛路四段300巷19弄2號
華山-合掌村,100台北市中正區忠孝東路一段108號
素香亭,300新竹市北區大同路89號
日日良食,110台北市信義區吳興街70號
勇伯好吃土雞肉專賣店,100台北市中正區南昌路二段144號
西紅柿拉麵涼麵店,106台北市大安區師大路125號
愛香園,100台北市中正區杭州南路一段63-4號
丼咖哩,100台北市中正區羅斯福路三段316巷7-1號
儂好-滷肉飯雞肉飯,106台北市大安區泰順街34號
龍膽深海魚湯,234新北市永和區仁愛路17號
小魏川菜餐廳,100台北市中正區公園路13號
關東火鍋王,300新竹市東區光復路一段469號
新美心印尼餐廳 New INDO-RASA Restoran,100台北市中正區市民大道
金元寶餃子大王,300新竹市東區水源街68號
好好租車萬隆店,116台北市文山區羅斯福路五段273號
成家小館,100台北市中正區羅斯福路一段8號
泰好饌泰式料理,100台北市中正區羅斯福路三段284巷1號
黑輪伯關東煮,106台北市大安區安居街9巷
無名麵攤,106台北市大安區和平東路二段76巷2弄1號
Baxter Gelato 義大利式手工冰淇淋,310新竹县竹东镇自強路66號
中華大餛飩,300新竹市東區公園路223號
連進酸菜白肉鍋,302新竹縣竹北市文田街68號
蛋蛋蛋包飯,100台北市中正區寧波西街76號
武垣拉麵丼飯,110台北市信義區信安街143-1號
珍寶海鮮舫,香港香港仔深灣碼頭徑
大嘴饞飯盒 小吃,116台北市文山區興隆路三段120號
花姐酸辣粉,234新北市永和區永平路86號
景安之丘HiLLS,235新北市中和區明禮街31巷
台灣中油(新店中正直營站),231新北市新店區中正路470號
茶湯會永和樂華店,234新北市永和區永和路一段212號
順益汽車民權展示中心,10491台北市中山區民權東路二段150號
麗松科技有限公司,106大安區復興南路二段300號
幸福盒子民宿,269宜蘭縣冬山鄉大埤二路216號
美食小吃,234新北市永和區保福路一段9巷16號
宜人生活民宿,26947宜兰县冬山乡吉祥路569號
The One Calzone專賣店 手工柴燒窯烤披薩,270宜蘭縣蘇澳鎮蘇濱路二段169號
城中市場,100台北市中正區武昌街一段22巷
全聯福利中心Pxmart 永和福和店,23450新北市永和区福和路353號
川田涮涮鍋,234新北市永和區中山路一段213號
YouBike 保平路214巷,234新北市永和區保平路214巷12弄1號
閑茗樓 永和店,234新北市永和區福和路247號
南勢角市場,235新北市中和區景新街383巷
米鹿創意手調飲品,234新北市永和區保福路一段23巷18號
福田園休閒農場,111台北市士林區菁山路131巷18號陽明山國家公園
中福營造股份有限公司,248新北市五股區成泰路一段189巷16號
魚港生猛海鮮,10499台北市中山區天祥路8號
K+ Hair Designer 旗艦店,108台北市萬華區武昌街二段5號
格萊天漾大飯店 Great Skyview,108台北市萬華區艋舺大道101號
海釣族海鮮小館,220新北市板橋區文化路二段126號
臺北市立動物園大象區,Unnamed Road, 文山 區, 文山區台北市116
六鼎煨豬腳,234新北市永和區永貞路335號
清心福全冷飲站,234新北市永和區永貞路392號
有間燒烤,235新北市中和區興南路一段85巷8號
偉新檔車工作室,235新北市中和區景平路31號
小山フィルムファクトリー,日本〒410-1313 Shizuoka, Suntō-gun, Oyama, Takenoshita, 599
深大寺,日本〒182-0017 Tōkyō-to, Chofu, Jindaiji Motomachi, 5-chōme−15−１
Mitake Shrine,Mukōhara, Yamakita, Ashigarakami-gun, Kanagawa 258-0111日本
明治神宮参集殿,日本〒151-0052 Tōkyō-to, Shibuya City, Yoyogikamizonochō, 1−1
購物中心 DECKS,日本〒135-0091 Tōkyō-to, Minato City, Daiba, 1-chōme−6−1
聚香園,號, No. 284永貞路中和區新北市235
Hachishin,3-chōme-27-20 Shiohama, Ichikawa, Chiba 272-0127日本
RCI HID 台北店,235新北市中和區中正路751巷14弄1號
幕張展覽館,日本〒261-8550 Chiba, Mihama-ku, Nakase, 2-chōme−１
誼美自助餐,234新北市永和區保平路109號
金福樓餐廳,234新北市永和區福和路294號
伊克斯皮兒莉,日本〒279-8529 Chiba, Urayasu, Maihama, 1-4
Mitsui Outlet Park Makuhari,2-chōme-6-1 Hibino, Mihama-ku, Chiba, 261-0021日本
溫州大餛飩,235新北市中和區南華路10號號
藤子·F·不二雄博物館,日本〒214-0023 Kanagawa, Kawasaki, Tama-ku, Nagao, 2-chōme−8−1
APA度假飯店東京灣幕張,日本〒261-0021 Chiba, Mihama-ku, Hibino, 2-chōme−3
松屋 梅田店,日本〒530-0018 Osaka, Kita-ku, Komatsubarachō, 1−27
天神橋筋商店街,日本〒532-0011 Osaka, Kita-ku, Tenjinbashi, 6-chōme−4
舊鞋救命X伯利恆倉庫,24355新北市泰山區新北大道六段79巷57弄8-2號
現炸脆皮雞翅,234新北市永和區永貞路380號
環河西路河濱公園,234新北市永和區環河西路二段59號
三重河堤,241新北市三重區
上介青海鮮熱炒,235新北市中和區宜安路174號
85度C 永和保平店,234新北市永和區保平路22號
永和保福宮,234新北市永和區仁愛路202巷11號
大聯盟棒壘球打擊場,108台北市萬華區峨眉街52號
亞億營造股份有限公司,105松山區延壽街105號
基隆美華大腸圈-永和總店,234新北市永和區永和路一段157號
富基婚宴會館-新莊店,242新北市新莊區建國一路99號
海洋都心2,251新北市淡水區新市三路二段181-299號
海上皇宮,251新北市淡水區
大團園,222新北市深坑區阿柔里阿柔洋25-1號
鮮豆庄手作豆花,234新北市永和區保平路208號
賽門甜不辣,108台北市萬華區開封街二段46號
懿德麵食館,235新北市中和區圓通路293-3號
肉多多火鍋-永和竹林店,234新北市永和區竹林路212號
中華電信樂華夜市服務中心,23445新北市永和區永和路一段57號
FRED PERRY Mitsui Outlet Park Marine Pia Kobe Store,日本〒655-0036 Hyogo, Kobe, Tarumi-ku, Kaigandōri, 12−2 三井アウトレットパーク マリンピア神戸 三井アウトレットパーク マリンピア神戸 2F
Nike Store,日本〒655-0036 Hyogo, Kobe, Tarumi-ku, Kaigandōri, 12−2 三井アウトレットパーク マリンピア神戸2F
adidas/Reebok factory outlet Kobe,12-4 Kaigandōri, Tarumi-ku, Kobe, Hyogo 655-0036日本
三井アウトレットパーク マリンピア神戸,日本〒655-0036 Hyogo, Kobe, Tarumi-ku, Kaigandōri, 12−2
鐵人28號 若松公園,日本〒653-0038 Hyogo, Kobe, Nagata-ku, Wakamatsucho, 6 Chome−３
錦市場,日本〒604-8054 Kyoto, Nakagyō-ku, Higashiuoyachō, 富小路通四条上る西大文字町609番地
大丸京都百貨,日本〒600-8511 Kyoto, Shimogyo Ward, Tachiuri Nishimachi, 79番地
Tennoji Mio Plaza Mall,10-48 Hideninchō, Tennōji-ku, Osaka, 543-0055日本
A12 機場第一航廈站,337桃園市大園區航站南路17之1號
白天鵝建設股份有限公司,110台北市信義區基隆路二段51號
國產牛燒肉 あぶりや,日本〒542-0076 Osaka, Chūō-ku, Nanba, 3-chōme−4−16 ECS第32ビル4F
Matsuya Esaka,15-4 Toyotsuchō, Suita, Osaka 564-0051日本
ドラゴンレッドリバー マリンピア神戸店,日本〒655-0036 Hyogo, Kobe, Tarumi-ku, 垂水区12, 海岸通12-2 マリンピア神戸1F
Kinkaku Soft Ice Cream,33 Kinugasa Kitatenjinmorichō, Kita-ku, Kyoto, 603-8376日本
長崎強棒麵 Ringer Hut,日本〒530-0041 Osaka, Kita-ku, Tenjinbashi, 4-chōme−4−10
GR Hotel Esaka,2-chōme-1-63 Esakachō, Suita, Osaka 564-0063日本
老皮牛肉麵,303新竹縣湖口鄉仁愛路166號
天神橋筋商店街,日本〒530-0041 Osaka, Kita-ku, Tenjinbashi, 4-chōme−7
新世界,日本〒556-0002 Osaka, Naniwa-ku, Ebisuhigashi, 2-chōme−2, Unnamed Road
營養號橋下蚵仔湯,號, No. 258西園路一段萬華區台北市108
阿福港式炸雞,320桃園市中壢區弘揚路50號
南通園藝博覽園,中國江苏省南通市崇川区紫琅路 邮政编码: 226000
支雲塔,中國江苏省南通市崇川区临港路 邮政编码: 226000
554鄉道,中國江苏省南通市海门市554乡道 邮政编码: 226141
朝霞大橋,中國江苏省南通市通州区 邮政编码: 226301
Yitel Shanghai Hongqiao Hub Branch,No.318 Huxing Road, 闵行区上海市 SH, 中國201702
麗輝粵海國際酒店,中國江苏省南通市通州区世纪大道268号 邮政编码: 226300
Nan Tong Cosmic International Hotel,268 Century Avenue, 通州区南通市江苏省中國226300
ibis Shanghai New Hongqiao,No. 2739 Wanyuan Road, Minhang District, Shanghai, 上海市中國200235
花見小路,日本〒600-8340 Kyoto, Higashiyama-ku, Gionmachi Minamigawa
西北牛肉麵,中國北京市朝阳区古建街 邮政编码: 100023
協菱股份有限公司,333桃園市龜山區龜山鄉舊路村東舊路坑11鄰51號之4
停車場,中國山东省青岛市城阳区春阳路 邮政编码: 266000
頂高豪景,號, No. 108南京東路一段中山區台北市10491
大都會舒壓時尚會館,235新北市中和區新北市中和區中山路二段319號
大維吉利大廈管理委員會,106大安區復興南路一段283號
肉多多火鍋-永和店,234新北市永和區民權路108號
忠泰幸接待會館,330桃園市桃園區經國二路
悅華軒酒樓,106台北市大安區復興南路一段283號
麥當勞-永和中山店,234新北市永和區中山路一段214號
台灣三菱電梯股份有限公司,106台北市大安區臥龍街188巷45號
信譽汽車修護廠（新址）,231新北市新店區薏仁坑路8號
圓通路大滷麵,235新北市中和區圓通路351號
一郎日本料理,10491台北市中山區民族東路336號
永旭都市更新股份有限公司,10491台北市中山区南京東路二段101號
麥當勞-永和竹林店,234新北市永和區竹林路235號
億東營造股份有限公司,231新北市新店區寶中路94號
石都府 石頭火鍋達人 - 中和店,235新北市中和區永貞路274號
勝美堅實業有限公司,106台北市大安區復興南路二段369號
士林黑殿食堂,111台北市士林區福國路17號
復興單車,號, No. 360復興南路二段大安區台北市106
安樂大廈管理委員會,106大安區敦化南路一段212號
Louisa Coffee Taipei Bridge,No. 12號重新路二段三重區新北市24142
